window.VT_DAILY_METRICS_TEXT = String.raw`# Format:
# YYYY-MM-DD | new_users | daily_active_users | local_users | online_users | avg_usage_minutes
#
# Add one line per day. Example:
# 2026-03-13 | 15 | 11 | 220 | 141 | 44
# Add new data lines above the final closing line at the bottom of this file.

2026-02-23 | 2 | 0 | 2 | 0 | 20
2026-02-24 | 4 | 1 | 4 | 0 | 27
2026-02-25 | 6 | 1 | 6 | 0 | 27
2026-02-26 | 5 | 1 | 5 | 0 | 29
2026-02-27 | 7 | 2 | 7 | 0 | 25
2026-02-28 | 6 | 2 | 6 | 0 | 27
2026-03-01 | 8 | 3 | 8 | 0 | 24
2026-03-02 | 5 | 3 | 5 | 0 | 24
2026-03-03 | 9 | 4 | 9 | 0 | 22
2026-03-04 | 48 | 3 | 48 | 0 | 24
2026-03-05 | 32 | 19 | 32 | 0 | 36
2026-03-06 | 34 | 10 | 34 | 0 | 35
2026-03-07 | 19 | 8 | 19 | 0 | 32
2026-03-08 | 15 | 5 | 15 | 0 | 21
2026-03-09 | 17 | 6 | 17 | 0 | 23
2026-03-10 | 10 | 8 | 10 | 0 | 16
2026-03-11 | 19 | 4 | 19 | 0 | 21
2026-03-12 | 14 | 9 | 14 | 0 | 27
2026-03-13 | 12 | 3 | 12 | 0 | 28
2026-03-14 | 18 | 6 | 18 | 0 | 22
2026-03-15 | 33 | 8 | 24 | 9 | 23
2026-03-16 | 22 | 14 | 16 | 6 | 35
2026-03-17 | 18 | 7 | 13 | 5 | 29
2026-03-18 | 12 | 5 | 7 | 5 | 21
2026-03-19 | 19 | 4 | 14 | 5 | 24
2026-03-20 | 11 | 5 | 6 | 5 | 14
2026-03-21 | 14 | 2 | 9 | 5 | 20
2026-03-22 | 8 | 4 | 3 | 5 | 22
2026-03-23 | 7 | 2 | 2 | 5 | 22
2026-03-24 | 8 | 3 | 3 | 5 | 26
2026-03-25 | 9 | 3 | 4 | 5 | 20
`;
